Activity,OptionName,OptionWeight,Agriculture output,Utilities output,Utilities Office Support,Construction of Buildings output,Construction of Buildings Office Support,Construction Non-Building (including mining) output,Construction Non-Building (including mining) Office Support,Manufacturing output,Manufacturing Office Support,Wholesale and Warehousing output,Transportation Activity output,Retail Activity output,Professional and Business Services output,Professional and Business Services (Building Maintenance) output,Private Education K-12 output,Private Education Post K-12 and Other output,Health Services output,Amusement Services (events tracks theme parks country clubs) output,Personal Services Office Based output,Personal Services Retail Based output,Restaurants and Bars Activity output,Private Households output,Hotels Activity output,Religious Activity output,State and Local Government Enterprises Activity output,Public Education K-12 output,Public Education Post K-12 and Other output,State and Local Non-Education Activity output,State and Local Non-Education Activity Office Support,Federal Military Activity output,Federal Non-Military Activity output,Owner-Occupied Dwellings Management and Maintenance,Scrap and Other,Adjustments,K-12 Instruction,Air Pollution,Water Pollution,Solid Waste,Payroll Tax Receipts,Other Tax Receipts,Other Property Income Receipts,Indirect Business Tax Receipts,Capital Investment Certificates,Investment Earnings Receipts,Government Support Receipts,Other Transfers and Adjustments Receipts,Management Business Science and Arts Labor,Services Labor,Work at Home Labor,Sales and Office Labor,Natural Resources Construction and Maintenance Labor,Production Transportation and Material Moving Labor,Military Labor,Agriculture and Mining Space,Light Industrial Space,Heavy Industry Space,Office Space,Retail Space,Depot Space,Hotel Space,Primary Schools,Secondary Schools,Post-Secondary Institution Space,College Dormitory Space,Health Care Space,Religious Space,Recreation Space,Active Park Space,Government Operations Space,Spaced Rural Residential Economy,Spaced Rural Residential Luxury,Single Family Detached Residential Economy,Single Family Detached Residential Luxury,Single Family Attached Residential Economy,Single Family Attached Residential Luxury,Multi-Family Residential Economy,Multi-Family Residential Luxury,Mobile Home Residential,Military Residential (Non GQ),Post K-12 and Other Instruction,ResUnitSF,ResUnitMF,ResUnitMH,Agriculture output:1,Utilities output:1,Utilities Office Support:1,Construction of Buildings output:1,Construction of Buildings Office Support:1,Construction Non-Building (including mining) output:1,Construction Non-Building (including mining) Office Support:1,Manufacturing output:1,Manufacturing Office Support:1,Wholesale and Warehousing output:1,Transportation Activity output:1,Retail Activity output:1,Professional and Business Services output:1,Professional and Business Services (Building Maintenance) output:1,Private Education K-12 output:1,Private Education Post K-12 and Other output:1,Health Services output:1,Amusement Services (events tracks theme parks country clubs) output:1,Personal Services Office Based output:1,Personal Services Retail Based output:1,Restaurants and Bars Activity output:1,Private Households output:1,Hotels Activity output:1,Religious Activity output:1,State and Local Government Enterprises Activity output:1,Public Education K-12 output:1,Public Education Post K-12 and Other output:1,State and Local Non-Education Activity output:1,State and Local Non-Education Activity Office Support:1,Federal Military Activity output:1,Federal Non-Military Activity output:1,Owner-Occupied Dwellings Management and Maintenance:1,Scrap and Other:1,Adjustments:1,K-12 Instruction:1,Air Pollution:1,Water Pollution:1,Solid Waste:1,Payroll Tax Receipts:1,Other Tax Receipts:1,Other Property Income Receipts:1,Indirect Business Tax Receipts:1,Capital Investment Certificates:1,Investment Earnings Receipts:1,Government Support Receipts:1,Other Transfers and Adjustments Receipts:1,Management Business Science and Arts Labor:1,Services Labor:1,Work at Home Labor:1,Sales and Office Labor:1,Natural Resources Construction and Maintenance Labor:1,Production Transportation and Material Moving Labor:1,Military Labor:1,Agriculture and Mining Space:1,Light Industrial Space:1,Heavy Industry Space:1,Office Space:1,Retail Space:1,Depot Space:1,Hotel Space:1,Primary Schools:1,Secondary Schools:1,Post-Secondary Institution Space:1,College Dormitory Space:1,Health Care Space:1,Religious Space:1,Recreation Space:1,Active Park Space:1,Government Operations Space:1,Spaced Rural Residential Economy:1,Spaced Rural Residential Luxury:1,Single Family Detached Residential Economy:1,Single Family Detached Residential Luxury:1,Single Family Attached Residential Economy:1,Single Family Attached Residential Luxury:1,Multi-Family Residential Economy:1,Multi-Family Residential Luxury:1,Mobile Home Residential:1,Military Residential (Non GQ):1,Post K-12 and Other Instruction:1,ResUnitSF:1,ResUnitMF:1,ResUnitMH:1
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Natural Resources Construction and Maintenance Labor | Less K-12 Instruction,1.4283262761548896e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Natural Resources Construction and Maintenance Labor | Less Post K-12 and Other Instruction,1.4281165393985982e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Natural Resources Construction and Maintenance Labor | More K-12 Instruction,1.5384668956198501e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,-1,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Natural Resources Construction and Maintenance Labor | More Post K-12 and Other Instruction,9.404636901278282e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,-1,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Production Transportation and Material Moving Labor | Less K-12 Instruction,9.78930233719846e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Production Transportation and Material Moving Labor | Less Post K-12 and Other Instruction,9.787864866956003e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Production Transportation and Material Moving Labor | More K-12 Instruction,1.2218874177002185e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,-1,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Production Transportation and Material Moving Labor | More Post K-12 and Other Instruction,7.469388863958196e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,-1,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Sales and Office Labor | Less K-12 Instruction,8.488670457367745e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Sales and Office Labor | Less Post K-12 and Other Instruction,8.487423973117819e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Sales and Office Labor | More K-12 Instruction,4.7922314435577665e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,-1,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Sales and Office Labor | More Post K-12 and Other Instruction,2.9294875828570434e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,-1,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Services Labor | Less K-12 Instruction,2.0632913718031548e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Services Labor | Less Post K-12 and Other Instruction,2.062988396182797e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Services Labor | More K-12 Instruction,2.0131796084172478e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,-1,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Services Labor | More Post K-12 and Other Instruction,1.2306552248947622e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,-1,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Work at Home Labor | Less K-12 Instruction,6.583094032775121e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Work at Home Labor | Less Post K-12 and Other Instruction,6.58212736513636e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Work at Home Labor | More K-12 Instruction,4.21345578655002e-15,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,-1,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | More Work at Home Labor | More Post K-12 and Other Instruction,2.5756824462659518e-14,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,-1,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | Unemployed Labor | Less K-12 Instruction,1.0196326011448554e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | Unemployed Labor | Less Post K-12 and Other Instruction,1.0194080236931537e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | Unemployed Labor | More K-12 Instruction,7.531154624754928e-11,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,-1,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,0,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Economy | Unemployed Labor | More Post K-12 and Other Instruction,1.1382623735592002e-09,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-1850,0,0,0,0,0,-1,-1,0,0
Households 150k or more annual income and 2 or less people,Households 150k or more annual income and 2 or less people | More Single Family Attached Residential Luxury | More Management Business Science and Arts Labor | Less K-12 Instruction,4.849330628999613e-13,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,34.2,574,0,0,0,0,0,0,8700,0,0,0,7600,3130,300000,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-420,-1620,0,0,0,-1.03,0,-14000,0,-3880,-1530,-8640,-10900,-303,-660,-2190,-12600,-1540,-1600,-2690,-3640,-224,-951,-629,-459,0,0,0,0,0,-88.3,-10400,-395,0,0,0,0,0,0,-23800,0,0,-10500,0,0,-7150,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,-2050,0,0,0,0,0,-1,0,0
